"id","name","company_id","comment","function","create_date","color","company_type","date","street","city","display_name","zip","title","country_id","parent_id","supplier","ref","email","is_company","website","customer","fax","street2","barcode","employee","credit_limit","write_date","active","tz","write_uid","lang","create_uid","phone","mobile","type","use_parent_address","user_id","birthdate","vat","state_id","commercial_partner_id","notify_email","message_last_post","opt_out","signup_type","signup_expiration","signup_token","team_id","calendar_last_notif_ack","last_time_entries_checked","debit_limit"
"44","My Company, Chicago","1","","","2015-11-20 07:01:05.359903","0","company","","90 Streets Avenue","Chicago","My Company, Chicago","60610","","235","","t","","chicago@yourcompany.com","t","http://www.yourcompany.com","t","","","","f","","2015-11-20 07:01:05.359903","t","","1","en_US","1","+1 312 349 3030","","contact","f","","","","22","44","always","","f","","","","","","",""
"4","Public user","1","","","2015-11-20 06:48:46.857791","0","person","","","","Public user","","","","","f","","","f","","t","","","","f","","2015-11-20 06:48:46.857791","f","","1","en_US","1","","","contact","f","","","","","4","always","","","","","","","","","0.0"
"3","Administrator","1","","","2015-11-20 06:48:46.857791","0","person","","","","Administrator","","","","","f","","admin@yourcompany.example.com","f","","f","","","","f","","2015-11-20 06:54:11.847805","t","Europe/Brussels","1","en_US","1","","","contact","f","","","","","3","none","","","","","","","","","0.0"
"5","Demo User","1","","","2015-11-20 06:48:46.857791","0","person","","Avenue des Dessus-de-Lives, 2","Namur (Loyers)","Demo User","5101","","21","","f","","demo@yourcompany.example.com","f","","f","","","","f","","2015-11-20 06:54:12.999165","t","","1","en_US","1","","","contact","f","","","","","5","none","","","","","","","","","0.0"
"42","Template User","1","","","2015-11-20 06:54:16.934754","0","person","","","","Template User","","","","","f","","","f","","f","","","","f","","2015-11-20 06:54:16.934754","t","","1","en_US","1","","","contact","f","","","","","42","always","","f","","","","","","","0.0"
"45","Steven Hamilton","1","","","2015-11-20 07:01:05.359903","0","person","","90 Streets Avenue","Chicago","My Company, Chicago, Steven Hamilton","60610","","235","44","f","","","f","","t","","","","f","0","2015-11-20 07:01:05.359903","t","","1","en_US","1","","","contact","f","","","","22","44","always","","f","","","","","","","0.0"
"46","Sample","1","","","2015-12-04 04:48:42.483848","0","person","","","","Sample","","","","","f","","","f","","t","","","","f","","2015-12-04 04:48:42.483848","t","","1","en_US","1","","","contact","f","","","","","46","always","","f","","","","","","",""
"1","MyCompany Now","1","","","","0","company","","1725 Slough Ave.","Scranton","MyCompany Now","18540","","235","","","","info@yourcompany.example.com","t","http://www.example.com","f","","","","","0","2015-12-04 08:45:40.045948","t","","1","","","+1 555 123 8069","","contact","","","","","47","1","always","","","","","","","","","0.0"
"8","China Export","1","","","2015-11-20 06:48:46.857791","0","company","","52 Chop Suey street","Shanghai","China Export","200000","","49","","t","","chinaexport@yourcompany.example.com","t","http://www.chinaexport.com/","t","","","","f","","2015-11-20 06:54:12.999165","t","","1","en_US","1","+86 21 6484 5671","","contact","f","","","","","8","none","","","","","","","","","0.0"
"43","Demo Portal User","1","","","2015-11-20 06:54:26.770522","0","person","","Rue Cesar de Paepe, 43","Vivegnis","Demo Portal User","4683","","21","","f","","demo.portal@yourcompany.example.com","f","","t","","","","f","","2015-11-20 06:54:26.770522","t","","1","en_US","1","","","contact","f","","","","","43","none","","f","","","","","","","0.0"
"12","Think Big Systems","1","","","2015-11-20 06:48:46.857791","0","company","","89 Lingfield Tower","London","Think Big Systems","","","233","","f","","thinkbig@yourcompany.example.com","t","http://www.think-big.com","t","","","","f","","2015-11-20 06:54:12.999165","t","","1","en_US","1","+1 857 349 3049","","contact","f","","","","","12","none","","","","","","","","","0.0"
"10","The Jackson Group","1","","","2015-11-20 06:48:46.857791","0","company","","3203 Lamberts Branch Road","Miami","The Jackson Group","33169","","235","","f","","jackson@yourcompany.example.com","t","","t","","","","f","","2015-11-20 06:54:12.999165","t","","1","en_US","1","+1 786 525 0724","","contact","f","","","","18","10","none","","","","","","","","","0.0"
"7","Agrolait","1","","","2015-11-20 06:48:46.857791","0","company","","69 rue de Namur","Wavre","Agrolait","1300","","21","","f","","agrolait@yourcompany.example.com","t","http://www.agrolait.com","t","","","","f","","2015-11-20 06:55:23.573218","t","","1","en_US","1","+32 10 588 558","","contact","f","","","","","7","none","","","","","","","","","0.0"
"11","Camptocamp","1","","","2015-11-20 06:48:46.857791","0","company","","93, Press Avenue","Le Bourget du Lac","Camptocamp","73377","","76","","t","","camptocamp@yourcompany.example.com","t","http://www.camptocamp.com","t","","","","f","","2015-11-20 06:55:23.573218","t","","1","en_US","1","+33 4 49 23 44 54","","contact","f","","","","","11","none","","","","","","","","","0.0"
"9","Delta PC","1","","","2015-11-20 06:48:46.857791","0","company","","3661 Station Street","Fremont","Delta PC","94538","","235","","t","","deltapc@yourcompany.example.com","t","http://www.distribpc.com/","f","","","","f","","2015-11-20 06:55:23.573218","t","","1","en_US","1","+1 510 340 2385","","contact","f","","","","13","9","none","","","","","","","","","0.0"
"6","ASUSTeK","1","","","2015-11-20 06:48:46.857791","0","company","","31 Hong Kong street","Taipei","ASUSTeK","106","","229","","t","","asusteK@yourcompany.example.com","t","http://www.asustek.com","f","","","","f","","2015-11-20 06:55:23.573218","t","","1","en_US","1","(+886) (02) 4162 2023","","contact","f","","","","","6","none","","","","","","","","","0.0"
"17","Edward Foster","1","","Sales Representative","2015-11-20 06:48:46.857791","0","person","","69 rue de Namur","Wavre","Agrolait, Edward Foster","1300","","21","7","t","","efoster@seagate.com","f","","f","","","","f","0","2015-11-20 06:55:23.573218","t","","1","en_US","1","","","contact","f","","","","","7","always","","","","","","","","","0.0"
"16","James Miller","1","","Electrical Supervisor","2015-11-20 06:48:46.857791","0","person","","31 Hong Kong street","Taipei","ASUSTeK, James Miller","106","","229","6","t","","","f","","f","","","","f","0","2015-11-20 06:55:23.573218","t","","1","en_US","1","","","contact","f","","","","","6","always","","","","","","","","","0.0"
"21","Thomas Passot","1","","Functional Consultant","2015-11-20 06:48:46.857791","0","person","","69 rue de Namur","Wavre","Agrolait, Thomas Passot","1300","","21","7","f","","thomas.passot@agrolait.example.com","f","","t","","","","f","0","2015-11-20 06:55:23.573218","t","","1","en_US","1","","","contact","f","","","","","7","always","","","","","","","","","0.0"
"19","Julia Rivero","1","","Technical Director","2015-11-20 06:48:46.857791","0","person","","31 Hong Kong street","Taipei","ASUSTeK, Julia Rivero","106","","229","6","t","","","f","","f","","","","f","0","2015-11-20 06:55:23.573218","t","","1","en_US","1","","","contact","f","","","","","6","always","","","","","","","","","0.0"
"20","Peter Mitchell","1","","Store Manager","2015-11-20 06:48:46.857791","0","person","","31 Hong Kong street","Taipei","ASUSTeK, Peter Mitchell","106","","229","6","t","","","f","","f","","","","f","0","2015-11-20 06:55:23.573218","t","","1","en_US","1","","","contact","f","","","","","6","always","","","","","","","","","0.0"
"32","Laith Jubair","1","","Director","2015-11-20 06:48:46.857791","0","person","","69 rue de Namur","Wavre","Agrolait, Laith Jubair","1300","","21","7","f","","laith.jubair@axelor.example.com","f","","t","","","","f","0","2015-11-20 06:55:23.573218","t","","1","en_US","1","","","contact","f","","","","","7","always","","","","","","","","","0.0"
"23","Chao Wang","1","","Marketing Manager","2015-11-20 06:48:46.857791","0","person","","52 Chop Suey street","Shanghai","China Export, Chao Wang","200000","","49","8","f","","chao.wang@chinaexport.example.com","f","","t","","","","f","0","2015-11-20 06:48:46.857791","t","","1","en_US","1","","","contact","f","","","","","8","always","","","","","","","","","0.0"
"24","David Simpson","1","","Senior Consultant","2015-11-20 06:48:46.857791","0","person","","52 Chop Suey street","Shanghai","China Export, David Simpson","200000","","49","8","f","","david.simpson@epic.example.com","f","","t","","","","f","0","2015-11-20 06:48:46.857791","t","","1","en_US","1","","","contact","f","","","","","8","always","","","","","","","","","0.0"
"22","Michel Fletcher","1","","Analyst","2015-11-20 06:48:46.857791","0","person","","69 rue de Namur","Wavre","Agrolait, Michel Fletcher","1300","","21","7","f","","michel.fletcher@agrolait.example.com","f","","t","","","","f","0","2015-11-20 06:55:23.573218","t","","1","en_US","1","","","contact","f","","","","","7","always","","","","","","","","","0.0"
